semaforo;manutencaoprevsequencia;marcadortroca;dtultimatroca;dtproximatroca;marcadordocumento;manutencaoprevmarcadorultimatroca;restante;manutencaoprevmarcadorsobrevida;programacaomanutprevdesviopadr;manutencaoprevmarcadorproximatroca;manutencaoprevmarcadorproximatrocadesvio;manutencaoprevveiculo;veiculonumerofrota;veiculotipoveiculo;utilizaveicdescricao;marcaveicdescricao;marcamodeldescricao;veiculopossuirefrig;frotaveiculo;produtodescricao;grupoprodutodescricao;grupoprodutosubdescricao;programacaomanutprevquantidade;situação
Vencida;6;80000 Km;30/01/2023;29/07/2023;279633;180123 Km;-19510 Km;80000 Km;0.00 %;260123 Km;260123;EMA5G30;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO APU DAF XF - M41 X 1,5MM;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;6;80000 Km;24/10/2023;21/04/2024;217291;135000 Km;-2291 Km;80000 Km;0.00 %;215000 Km;215000;RBC3H52;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO APU DAF XF - M41 X 1,5MM;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;6;30000 Km;12/03/2025;08/09/2025;1012486;973529 Km;-8957 Km;30000 Km;0.00 %;1003529 Km;1003529;MRY2830;;CVTR;TRANSPORTES;VOLVO;FH 400 4X2;NÃO;Próprio;OLEO MOTOR 15W40 CI4;LUBRIFICANTE;OLEO MOTOR;37.000 UN;Ativo
Vencida;6;30000 Km;04/07/2023;31/12/2023;579633;542123 Km;-7510 Km;30000 Km;0.00 %;572123 Km;572123;MRZ6178;;CVTR;TRANSPORTES;VOLVO;FH440 6X4;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR VOLVO FH - 0915019;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;5;20000 Km;14/01/2025;13/07/2025;555355;522436 Km;-12919 Km;20000 Km;0.00 %;542436 Km;542436;QRK0A26;;CVTR;TRANSPORTES;DAF;XF105 FTT 510A;NÃO;Próprio;FILTRO RACOR DAF NEW / XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;5;40000 Km;30/01/2023;29/07/2023;279633;180123 Km;-59510 Km;40000 Km;0.00 %;220123 Km;220123;EMA5G30;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR DAF XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;5;40000 Km;14/05/2025;10/11/2025;171561;124011 Km;-7550 Km;40000 Km;0.00 %;164011 Km;164011;SFQ7F74;;CVTR;TRANSPORTES;DAF;XF FTT 530 SSC;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR DAF XF BLUE;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;5;20000 Km;27/11/2024;26/05/2025;942115;905576 Km;-16539 Km;20000 Km;0.00 %;925576 Km;925576;PPQ5J76;;CVTRT;TRANSPORTES;DAF;XF105 FTT 510A;NÃO;Próprio;FILTRO RACOR DAF NEW / XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;5;40000 Km;04/07/2025;31/12/2025;355880;315237 Km;-643 Km;40000 Km;0.00 %;355237 Km;355237;PPW0287;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR DAF XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;5;30000 Km;22/10/2024;20/04/2025;649357;613635 Km;-5722 Km;30000 Km;0.00 %;643635 Km;643635;OYF5271;;CVTR;TRANSPORTES;VOLVO;FH540 6X4;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR VOLVO FH - 0915019;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;5;30000 Km;27/07/2022;23/01/2023;679277;578005 Km;-71272 Km;30000 Km;0.00 %;608005 Km;608005;MSH4377;;CVTRL;TRANSPORTES;VOLVO;FH12 380 4X2;NÃO;Próprio;FILTRO DE COMBUSTIVEL MOTOR VOLVO FH D12/D13;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;5;40000 Km;05/02/2025;04/08/2025;300183;260100 Km;-83 Km;40000 Km;0.00 %;300100 Km;300100;GGS9J18;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR DAF XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;5;35000 Km;14/08/2024;10/02/2025;195321;146880 Km;-13441 Km;35000 Km;0.00 %;181880 Km;181880;QRG7F46;;A;APOIO;CHEVROLET;ONIX JOY;NÃO;Próprio;KIT CORREIA DENTADA MOTOR ONIX;MOTOR;PEÇAS E ACESSORIOS;1.000 UN;Ativo
Vencida;5;40000 Km;01/04/2025;28/09/2025;323438;282790 Km;-648 Km;40000 Km;0.00 %;322790 Km;322790;FPK0C05;;CVTRT;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR DAF XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;5;30000 Km;12/03/2025;08/09/2025;1012486;973529 Km;-8957 Km;30000 Km;0.00 %;1003529 Km;1003529;MRY2830;;CVTR;TRANSPORTES;VOLVO;FH 400 4X2;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR VOLVO FH - 0915019;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;5;30000 Km;04/07/2023;31/12/2023;579633;542123 Km;-7510 Km;30000 Km;0.00 %;572123 Km;572123;MRZ6178;;CVTR;TRANSPORTES;VOLVO;FH440 6X4;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR VOLVO FH - 0915018;MOTOR;FILTROS;2.000 UN;Ativo
Vencida;5;20000 Km;10/04/2025;07/10/2025;162171;138909 Km;-3262 Km;20000 Km;0.00 %;158909 Km;158909;RQM6J28;;CVTRB;TRANSPORTES;DAF;XF FTT 530 SSC;NÃO;Próprio;FILTRO DE COMBUSTIVEL DAF XF BLUE ;MOTOR;FILTROS;1.000 UN;Ativo
