semaforo;manutencaoprevsequencia;marcadortroca;dtultimatroca;dtproximatroca;marcadordocumento;manutencaoprevmarcadorultimatroca;restante;manutencaoprevmarcadorsobrevida;programacaomanutprevdesviopadr;manutencaoprevmarcadorproximatroca;manutencaoprevmarcadorproximatrocadesvio;manutencaoprevveiculo;veiculonumerofrota;veiculotipoveiculo;utilizaveicdescricao;marcaveicdescricao;marcamodeldescricao;veiculopossuirefrig;frotaveiculo;produtodescricao;grupoprodutodescricao;grupoprodutosubdescricao;programacaomanutprevquantidade;situação
Vencida;17;10000 Km;13/10/2025;11/04/2026;278352;262327 Km;-6025 Km;10000 Km;0.00 %;272327 Km;272327;RBC3H56;;CVTR;TRANSPORTES;DAF;XF FTT 530 SSC;NÃO;Próprio;FILTRO RACOR IVECO;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;16;60000 Km;04/07/2024;31/12/2024;195512;1 Km;-135511 Km;60000 Km;0.00 %;60001 Km;60001;RBF6H84;;CVTRB;TRANSPORTES;DAF;XF FTT 530 SSC;NÃO;Próprio;OLEO DIFERENCIAL 85W140;LUBRIFICANTE;OLEO PARA DIFERENCIAL;22.000 UN;Ativo
Vencida;15;40000 Km;12/07/2024;08/01/2025;832333;776690 Km;-15643 Km;40000 Km;0.00 %;816690 Km;816690;PPQ5J77;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;OLEO MOTOR URANIA K 10W40 - SINTETICO;LUBRIFICANTE;OLEO MOTOR;36.000 UN;Ativo
Vencida;14;30000 Km;24/04/2024;21/10/2024;679277;;-649277 Km;;0.00 %;30000 Km;30000;MSH4377;;CVTRL;TRANSPORTES;VOLVO;FH12 380 4X2;NÃO;Próprio;FILTRO RACOR VOLVO FH D12C;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;13;80000 Km;06/01/2025;05/07/2025;340683;260233 Km;-450 Km;80000 Km;0.00 %;340233 Km;340233;FVQ1A27;;CVTRT;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;OLEO DIFERENCIAL 85W140;LUBRIFICANTE;OLEO PARA DIFERENCIAL;36.000 UN;Ativo
Vencida;13;40000 Km;04/07/2025;31/12/2025;355880;315237 Km;-643 Km;40000 Km;0.00 %;355237 Km;355237;PPW0287;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;OLEO MOTOR URANIA K 10W40 - SINTETICO;LUBRIFICANTE;OLEO MOTOR;36.000 UN;Ativo
Vencida;13;80000 Km;22/06/2023;19/12/2023;219071;126700 Km;-12371 Km;80000 Km;0.00 %;206700 Km;206700;RBC3H60;;CVTR;TRANSPORTES;DAF;XF 105 FTS;NÃO;Próprio;FILTRO AGUA MOTOR DAF XF / BLUE;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;13;30000 Km;24/04/2024;21/10/2024;679277;;-649277 Km;;0.00 %;30000 Km;30000;MSH4377;;CVTRL;TRANSPORTES;VOLVO;FH12 380 4X2;NÃO;Próprio;FILTRO DE COMBUSTIVEL MOTOR VOLVO FH D12C;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;12;30000 Km;24/04/2024;21/10/2024;679277;;-649277 Km;;0.00 %;30000 Km;30000;MSH4377;;CVTRL;TRANSPORTES;VOLVO;FH12 380 4X2;NÃO;Próprio;FILTRO RACOR VOLVO FH D12D - FS19735;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;12;80000 Km;22/06/2023;19/12/2023;219071;126700 Km;-12371 Km;80000 Km;0.00 %;206700 Km;206700;RBC3H60;;CVTR;TRANSPORTES;DAF;XF 105 FTS;NÃO;Próprio;ELEMENTO FILTRO AR EAS DAF XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;12;60000 Km;01/01/2022;30/06/2022;186803;1 Km;-126802 Km;60000 Km;0.00 %;60001 Km;60001;RQT8D38;;CVTR;TRANSPORTES;DAF;XF FTS 480;NÃO;Próprio;OLEO DIFERENCIAL 85W140;LUBRIFICANTE;OLEO PARA DIFERENCIAL;16.000 UN;Ativo
Vencida;11;80000 Km;21/08/2024;17/02/2025;612989;531023 Km;-1966 Km;80000 Km;0.00 %;611023 Km;611023;PPI5365;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;OLEO DIFERENCIAL 85W140;LUBRIFICANTE;OLEO PARA DIFERENCIAL;36.000 UN;Ativo
Vencida;11;40000 Km;12/07/2024;08/01/2025;832333;776690 Km;-15643 Km;40000 Km;0.00 %;816690 Km;816690;PPQ5J77;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR DAF XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;11;80000 Km;17/10/2023;14/04/2024;300183;220158 Km;-25 Km;80000 Km;0.00 %;300158 Km;300158;GGS9J18;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;OLEO DIFERENCIAL 85W140;LUBRIFICANTE;OLEO PARA DIFERENCIAL;36.000 UN;Ativo
Vencida;11;60000 Km;24/04/2024;21/10/2024;679277;;-619277 Km;;0.00 %;60000 Km;60000;MSH4377;;CVTRL;TRANSPORTES;VOLVO;FH12 380 4X2;NÃO;Próprio;FILTRO DE AR MOTOR VOLVO FH D13 - BORRACHA;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;11;80000 Km;22/06/2023;19/12/2023;219071;126700 Km;-12371 Km;80000 Km;0.00 %;206700 Km;206700;RBC3H60;;CVTR;TRANSPORTES;DAF;XF 105 FTS;NÃO;Próprio;FILTRO ARLA DAF XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;11;30000 Km;13/08/2024;09/02/2025;649357;612166 Km;-7191 Km;30000 Km;0.00 %;642166 Km;642166;OYF5271;;CVTR;TRANSPORTES;VOLVO;FH540 6X4;NÃO;Próprio;FILTRO RACOR VOLVO FH D13 - FS19920;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;10;80000 Km;22/06/2023;19/12/2023;219071;126700 Km;-12371 Km;80000 Km;0.00 %;206700 Km;206700;RBC3H60;;CVTR;TRANSPORTES;DAF;XF 105 FTS;NÃO;Próprio;FILTRO TUBULAÇÃO ARLA MOTOR DAF XF;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;10;40000 Km;01/04/2025;28/09/2025;323438;282790 Km;-648 Km;40000 Km;0.00 %;322790 Km;322790;FPK0C05;;CVTRT;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;OLEO MOTOR URANIA K 10W40 - SINTETICO;LUBRIFICANTE;OLEO MOTOR;36.000 UN;Ativo
Vencida;10;40000 Km;12/07/2024;08/01/2025;832333;776690 Km;-15643 Km;40000 Km;0.00 %;816690 Km;816690;PPQ5J77;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR DAF XF ;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;10;60000 Km;28/06/2023;25/12/2023;649357;584103 Km;-5254 Km;60000 Km;0.00 %;644103 Km;644103;OYF5271;;CVTR;TRANSPORTES;VOLVO;FH540 6X4;NÃO;Próprio;FILTRO APU VOLVO FH;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;9;40000 Km;16/07/2025;12/01/2026;250650;203116 Km;-7534 Km;40000 Km;0.00 %;243116 Km;243116;RQM6J15;;CVTR;TRANSPORTES;DAF;XF FTT 530 SSC;NÃO;Próprio;FILTRO LUBRIFICANTE MOTOR DAF XF BLUE;MOTOR;FILTROS;1.000 UN;Ativo
Vencida;9;60000 Km;30/01/2023;29/07/2023;279633;180123 Km;-39510 Km;60000 Km;0.00 %;240123 Km;240123;EMA5G30;;CVTR;TRANSPORTES;DAF;XF105 FTT;NÃO;Próprio;FILTRO ARLA DAF XF;MOTOR;FILTROS;1.000 UN;Ativo
